GVF,PR,RE,NU
1,0.101418,2.40192,3.65551
1,0.101371,2.40079,3.65586
1,0.101371,2.40079,3.65586
1,0.101302,2.39917,3.65553
1,0.101302,2.39917,3.65553
1,0.101224,2.39732,3.65454
1,0.101224,2.39732,3.65454
1,0.101204,2.39686,3.65525
1,0.101204,2.39686,3.65525
1,0.101202,2.3968,3.65579
1,0.101202,2.3968,3.65579
1,0.101202,2.39681,3.65614
1,0.101202,2.39681,3.65614
1,0.101211,2.39702,3.65662
1,0.101211,2.39702,3.65662
1,0.101228,2.39742,3.65713
1,0.101228,2.39742,3.65713
1,0.101236,2.39761,3.65778
1,0.101236,2.39761,3.65778
1,0.101216,2.39713,3.65771
1,0.101216,2.39713,3.65771
1,0.101173,2.39613,3.65695
1,0.101173,2.39613,3.65695
1,0.101164,2.39589,3.65693
1,0.101164,2.39589,3.65693
1,0.101182,2.39634,3.65742
1,0.101182,2.39634,3.65742
1,0.101217,2.39716,3.65828
1,0.101217,2.39716,3.65828
1,0.101252,2.39798,3.65932
1,0.101252,2.39798,3.65932
1,0.101256,2.39808,3.65987
1,0.101256,2.39808,3.65987
1,0.101219,2.39721,3.65979
1,0.101219,2.39721,3.65979
1,0.101151,2.39559,3.6594
1,0.101151,2.39559,3.6594
1,0.101056,2.39334,3.65868
1,0.101056,2.39334,3.65868
1,0.100957,2.391,3.65815
1,0.100957,2.391,3.65815
1,0.10086,2.38871,3.65799
1,0.10086,2.38871,3.65799
1,0.100752,2.38614,3.65816
1,0.100752,2.38614,3.65816
1,0.100594,2.3824,3.65778
1,0.100594,2.3824,3.65778
1,0.100377,2.37727,3.65689
1,0.100377,2.37727,3.65689
1,0.100094,2.37057,3.65536
1,0.100094,2.37057,3.65536
1,0.0997598,2.36264,3.65384
1,0.0997598,2.36264,3.65384
1,0.0993726,2.35348,3.65193
1,0.0993726,2.35348,3.65193
1,0.0989442,2.34333,3.64996
1,0.0989442,2.34333,3.64996
1,0.0984658,2.332,3.64783
1,0.0984658,2.332,3.64783
1,0.0979114,2.31887,3.64521
1,0.0979114,2.31887,3.64521
1,0.0972545,2.30331,3.64186
1,0.0972545,2.30331,3.64186
1,0.0964679,2.28468,3.63762
1,0.0964679,2.28468,3.63762
1,0.0955337,2.26256,3.63282
1,0.0955337,2.26256,3.63282
1,0.0944121,2.23599,3.62704
1,0.0944121,2.23599,3.62704
1,0.0930493,2.20372,3.61983
1,0.0930493,2.20372,3.61983
1,0.0913991,2.16463,3.6109
1,0.0913991,2.16463,3.6109
1,0.089472,2.119,3.60002
1,0.089472,2.119,3.60002
1,0.0873563,2.06889,3.58729
1,0.0873563,2.06889,3.58729
1,0.0853647,2.02172,3.57538
1,0.0853647,2.02172,3.57538
1,0.0842054,1.99427,3.57004
1,0.0842054,1.99427,3.57004
0.739362,0.61688,10.8499,6.16426
0.739362,0.61688,10.8499,6.16426
0.731871,0.667254,11.7791,6.33226
0.731871,0.667254,11.7791,6.33226
0.715892,0.647997,11.3552,6.40604
0.715892,0.647997,11.3552,6.40604
0.696721,0.630307,10.9124,6.50794
0.696721,0.630307,10.9124,6.50794
0.680119,0.61842,10.5972,6.60495
0.680119,0.61842,10.5972,6.60495
0.67281,0.613294,10.478,6.64226
0.67281,0.613294,10.478,6.64226
0.673166,0.608669,10.453,6.61982
0.673166,0.608669,10.453,6.61982
0.673635,0.599548,10.3145,6.58941
0.673635,0.599548,10.3145,6.58941
0.671326,0.587709,10.1058,6.57581
0.671326,0.587709,10.1058,6.57581
0.6686,0.576126,9.89876,6.56862
0.6686,0.576126,9.89876,6.56862
0.668212,0.567194,9.76713,6.5485
0.668212,0.567194,9.76713,6.5485
0.666767,0.559177,9.63742,6.54144
0.666767,0.559177,9.63742,6.54144
0.666427,0.555221,9.59187,6.5343
0.666427,0.555221,9.59187,6.5343
0.667902,0.553813,9.59484,6.51901
0.667902,0.553813,9.59484,6.51901
0.667592,0.551151,9.5286,6.51746
0.667592,0.551151,9.5286,6.51746
